id,nid,did,ord,mod,usn,type,queue,due,ivl,factor,reps,lapses,left,odue,odid,flags,data
1724592097332,1724592097331,1737734989502,0,1740697733,0,0,0,1736,0,0,0,0,0,0,0,0,{}
1724592097335,1724592097334,1737734989502,0,1740697733,0,0,0,1753,0,0,0,0,0,0,0,0,{}
1724592097338,1724592097337,1737734989502,0,1740697733,0,0,0,1771,0,0,0,0,0,0,0,0,{}
1724592097341,1724592097340,1737734989502,0,1740697733,0,0,0,1741,0,0,0,0,0,0,0,0,{}
1724592097344,1724592097343,1737734989502,0,1740697733,0,0,0,3171,0,0,0,0,0,0,0,0,{}
1724592097347,1724592097346,1737734989502,0,1740697733,0,0,0,5902,0,0,0,0,0,0,0,0,{}
1724592097350,1724592097349,1745851225585,0,1749645855,2008,2,2,972,70,1310,7,0,1001,0,0,4,{}
1724592097353,1724592097352,1737734989502,0,1740697733,0,0,0,5911,0,0,0,0,0,0,0,0,{}
1724592097356,1724592097355,1737734989502,0,1740697733,0,0,0,5912,0,0,0,0,0,0,0,0,{}
1724592097359,1724592097358,1737734989502,0,1747868646,1925,0,0,5913,0,0,0,0,0,0,0,3,{}
1724592097362,1724592097361,1737734989502,0,1740697733,0,0,0,5914,0,0,0,0,0,0,0,0,{}
1724592097365,1724592097364,1737734989502,0,1750419414,2035,0,0,5916,0,0,0,0,0,0,0,3,{}
1724592097368,1724592097367,1737734989502,0,1740697733,0,0,0,5917,0,0,0,0,0,0,0,0,{}
1724592097371,1724592097370,1737734989502,0,1740697733,0,0,0,5919,0,0,0,0,0,0,0,0,{}
1724592097374,1724592097373,1737734989502,0,1740697733,0,0,0,5921,0,0,0,0,0,0,0,0,{}
1724592097377,1724592097376,1737734989502,0,1740697733,0,0,0,5922,0,0,0,0,0,0,0,0,{}
1724592097380,1724592097379,1745851225585,0,1753305464,2136,2,2,1069,125,1310,8,0,1001,0,0,4,{}
1724592097383,1724592097382,1737734989502,0,1740697733,0,0,0,5924,0,0,0,0,0,0,0,0,{}
1724592097386,1724592097385,1737734989502,0,1740697733,0,0,0,5925,0,0,0,0,0,0,0,0,{}
1724592097389,1724592097388,1737734989502,0,1740697733,0,0,0,5926,0,0,0,0,0,0,0,0,{}
1724592097392,1724592097391,1737734989502,0,1740697733,0,0,0,5928,0,0,0,0,0,0,0,0,{}
1724592097395,1724592097394,1737734989502,0,1740697733,0,0,0,5929,0,0,0,0,0,0,0,0,{}
1724592097398,1724592097397,1745851225585,0,1751317260,2072,2,2,1014,93,1310,8,0,1001,0,0,4,{}
1724592097401,1724592097400,1737734989502,0,1740697733,0,0,0,5931,0,0,0,0,0,0,0,0,{}
1724592097404,1724592097403,1737734989502,0,1740697733,0,0,0,5932,0,0,0,0,0,0,0,0,{}
1724592097407,1724592097406,1737734989502,0,1740697733,0,0,0,5933,0,0,0,0,0,0,0,0,{}
1724592097410,1724592097409,1737734989502,0,1740697733,0,0,0,5934,0,0,0,0,0,0,0,0,{}
1724592097413,1724592097412,1745851225585,0,1751370065,2073,2,2,1000,78,1300,14,2,1001,0,0,4,{}
1724592097416,1724592097415,1737734989502,0,1740697733,0,0,0,5938,0,0,0,0,0,0,0,0,{}
1724592097419,1724592097418,1737734989502,0,1740697733,0,0,0,5939,0,0,0,0,0,0,0,0,{}
1724592097422,1724592097421,1737734989502,0,1740697733,0,0,0,5941,0,0,0,0,0,0,0,0,{}
1724592097425,1724592097424,1737734989502,0,1740697733,0,0,0,5942,0,0,0,0,0,0,0,0,{}
1724592097428,1724592097427,1745851225585,0,1753127903,2131,2,2,1074,132,1310,8,0,1001,0,0,4,{}
1724592097431,1724592097430,1745851225585,0,1748687322,1971,2,2,946,55,1310,7,0,1001,0,0,4,{}
1724592097434,1724592097433,1737734989502,0,1740697733,0,0,0,5945,0,0,0,0,0,0,0,0,{}
1724592097437,1724592097436,1737734989502,0,1740697733,0,0,0,5946,0,0,0,0,0,0,0,0,{}
1724592097440,1724592097439,1737734989502,0,1740697733,0,0,0,5947,0,0,0,0,0,0,0,0,{}
1724592097443,1724592097442,1737734989502,0,1740697733,0,0,0,5973,0,0,0,0,0,0,0,0,{}
1724592097446,1724592097445,1737734989502,0,1740697733,0,0,0,5994,0,0,0,0,0,0,0,0,{}
1724592097449,1724592097448,1737734989502,0,1740697733,0,0,0,5995,0,0,0,0,0,0,0,0,{}
1724592097452,1724592097451,1737734989502,0,1740697733,0,0,0,6012,0,0,0,0,0,0,0,0,{}
1724592097455,1724592097454,1737734989502,0,1740697733,0,0,0,6013,0,0,0,0,0,0,0,0,{}
1724592097458,1724592097457,1737734989502,0,1740697733,0,0,0,6014,0,0,0,0,0,0,0,0,{}
1724592097461,1724592097460,1737734989502,0,1740697733,0,0,0,6015,0,0,0,0,0,0,0,0,{}
1724592097464,1724592097463,1737734989502,0,1740697733,0,0,0,6016,0,0,0,0,0,0,0,0,{}
1724592097467,1724592097466,1737734989502,0,1740697733,0,0,0,6017,0,0,0,0,0,0,0,0,{}
1724592097470,1724592097469,1737734989502,0,1740697733,0,0,0,6023,0,0,0,0,0,0,0,0,{}
1724592097473,1724592097472,1737734989502,0,1740697733,0,0,0,6033,0,0,0,0,0,0,0,0,{}
1724592097476,1724592097475,1737734989502,0,1740697733,0,0,0,6034,0,0,0,0,0,0,0,0,{}
1724592097479,1724592097478,1745851225585,0,1749555961,2005,2,2,971,70,1310,7,0,1001,0,0,4,{}
1724592097482,1724592097481,1737734989502,0,1740697733,0,0,0,6036,0,0,0,0,0,0,0,0,{}
1724592097485,1724592097484,1745851225585,0,1748779328,1978,2,2,948,56,1310,7,0,1001,0,0,4,{}
1724592097488,1724592097487,1745851225585,0,1749909943,2017,2,2,978,73,1310,7,0,1001,0,0,4,{}
1724592097491,1724592097490,1745851225585,0,1753305371,2136,2,2,1080,136,1310,8,0,1001,0,0,4,{}
1724592097494,1724592097493,1737734989502,0,1740697733,0,0,0,6041,0,0,0,0,0,0,0,0,{}
1724592097497,1724592097496,1737734989502,0,1740697733,0,0,0,6042,0,0,0,0,0,0,0,0,{}
1724592097500,1724592097499,1737734989502,0,1740697733,0,0,0,6044,0,0,0,0,0,0,0,0,{}
1724592097503,1724592097502,1745851225585,0,1751632599,2078,2,2,1025,100,1310,8,0,1001,0,0,4,{}
1724592097506,1724592097505,1737734989502,0,1740697733,0,0,0,6046,0,0,0,0,0,0,0,0,{}
1724592097509,1724592097508,1737734989502,0,1747869362,1925,0,0,6047,0,0,0,0,0,0,0,3,{}
1724592097512,1724592097511,1745851225585,0,1753305548,2136,2,2,1078,134,1310,8,0,1001,0,0,4,{}
1724592097515,1724592097514,1745851225585,0,1751369852,2073,2,2,962,40,1300,10,1,1001,0,0,4,{}
1724592097518,1724592097517,1745851225585,0,1749123048,1993,2,2,960,64,1310,7,0,0,0,0,4,{}
1724592097521,1724592097520,1737734989502,0,1740697733,0,0,0,6053,0,0,0,0,0,0,0,0,{}
1724592097524,1724592097523,1737734989502,0,1740697733,0,0,0,6054,0,0,0,0,0,0,0,0,{}
1724592097527,1724592097526,1745851225585,0,1751632523,2078,2,2,986,61,1300,11,1,1001,0,0,4,{}
1724592097530,1724592097529,1737734989502,0,1740697733,0,0,0,6057,0,0,0,0,0,0,0,0,{}
1724592097533,1724592097532,1737734989502,0,1740697733,0,0,0,6058,0,0,0,0,0,0,0,0,{}
1724592097536,1724592097535,1737734989502,0,1740697733,0,0,0,6059,0,0,0,0,0,0,0,0,{}
1724592097539,1724592097538,1745851225585,0,1752109335,2088,2,2,1040,110,1310,8,0,1001,0,0,4,{}
1724592097542,1724592097541,1745851225585,0,1752517973,2099,2,2,1046,111,1300,11,1,1001,0,0,4,{}
1724592097545,1724592097544,1737734989502,0,1740697733,0,0,0,6062,0,0,0,0,0,0,0,0,{}
1724592097548,1724592097547,1745851225585,0,1751369724,2073,2,2,1016,94,1310,8,0,1001,0,0,4,{}
1724592097551,1724592097550,1737734989502,0,1740697733,0,0,0,6065,0,0,0,0,0,0,0,0,{}
1724592097554,1724592097553,1737734989502,0,1740697733,0,0,0,6066,0,0,0,0,0,0,0,0,{}
1724592097557,1724592097556,1737734989502,0,1747869369,1925,0,0,6067,0,0,0,0,0,0,0,3,{}
1724592097560,1724592097559,1737734989502,0,1740697733,0,0,0,6068,0,0,0,0,0,0,0,0,{}
1724592097563,1724592097562,1737734989502,0,1740697733,0,0,0,6069,0,0,0,0,0,0,0,0,{}
1724592097566,1724592097565,1737734989502,0,1740697733,0,0,0,6070,0,0,0,0,0,0,0,0,{}
1724592097569,1724592097568,1737734989502,0,1749772385,2012,0,0,6071,0,0,0,0,0,0,0,3,{}
1724592097572,1724592097571,1745851225585,0,1751893335,2082,2,2,1041,113,1310,8,0,0,0,0,4,{}
1724592097575,1724592097574,1737734989502,0,1740697733,0,0,0,6073,0,0,0,0,0,0,0,0,{}
1724592097578,1724592097577,1737734989502,0,1740697733,0,0,0,6074,0,0,0,0,0,0,0,0,{}
1724592097581,1724592097580,1745851225585,0,1749056526,1990,2,2,955,60,1310,7,0,0,0,0,4,{}
1724592097584,1724592097583,1737734989502,0,1745747457,1756,0,0,6076,0,0,0,0,0,0,0,0,{}
1724592097587,1724592097586,1745851225585,0,1749043572,1989,2,2,960,65,1310,7,0,0,0,0,4,{}
1724592097590,1724592097589,1737734989502,0,1740697733,0,0,0,6079,0,0,0,0,0,0,0,0,{}
1724592097593,1724592097592,1737734989502,0,1740697733,0,0,0,6080,0,0,0,0,0,0,0,0,{}
1724592097596,1724592097595,1745851225585,0,1749386714,2000,2,2,961,62,1310,7,0,1001,0,0,4,{}
1724592097599,1724592097598,1745851225585,0,1749729261,2009,2,2,976,73,1310,7,0,1001,0,0,4,{}
1724592097602,1724592097601,1745851225585,0,1752937688,2122,2,2,1064,124,1310,8,0,1001,0,0,4,{}
1724592097605,1724592097604,1745851225585,0,1752239260,2094,2,2,1045,113,1310,8,0,1001,0,0,4,{}
1724592097608,1724592097607,1737734989502,0,1740697733,0,0,0,6085,0,0,0,0,0,0,0,0,{}
1724592097611,1724592097610,1737734989502,0,1740697733,0,0,0,6086,0,0,0,0,0,0,0,0,{}
1724592097614,1724592097613,1745851225585,0,1752622233,2104,2,2,959,23,1300,13,1,0,0,0,4,{}
1724592097617,1724592097616,1737734989502,0,1740697733,0,0,0,6088,0,0,0,0,0,0,0,0,{}
1724592097620,1724592097619,1737734989502,0,1740697733,0,0,0,6089,0,0,0,0,0,0,0,0,{}
1724592097623,1724592097622,1737734989502,0,1740697733,0,0,0,6090,0,0,0,0,0,0,0,0,{}
1724592097626,1724592097625,1737734989502,0,1740697733,0,0,0,6091,0,0,0,0,0,0,0,0,{}
1724592097629,1724592097628,1737734989502,0,1740697733,0,0,0,6092,0,0,0,0,0,0,0,0,{}
1724592097632,1724592097631,1737734989502,0,1740697733,0,0,0,6093,0,0,0,0,0,0,0,0,{}
1724592097635,1724592097634,1737734989502,0,1740697733,0,0,0,6094,0,0,0,0,0,0,0,0,{}
1724592097638,1724592097637,1737734989502,0,1740697733,0,0,0,6095,0,0,0,0,0,0,0,0,{}
1724592097641,1724592097640,1737734989502,0,1740697733,0,0,0,6096,0,0,0,0,0,0,0,0,{}
1724592097644,1724592097643,1737734989502,0,1740697733,0,0,0,6097,0,0,0,0,0,0,0,0,{}
1724592097647,1724592097646,1737734989502,0,1740697733,0,0,0,6098,0,0,0,0,0,0,0,0,{}
1724592097650,1724592097649,1737734989502,0,1740697733,0,0,0,6099,0,0,0,0,0,0,0,0,{}
1724592097653,1724592097652,1737734989502,0,1740697733,0,0,0,6100,0,0,0,0,0,0,0,0,{}
1724592097656,1724592097655,1737734989502,0,1740697733,0,0,0,6101,0,0,0,0,0,0,0,0,{}
1724592097659,1724592097658,1737734989502,0,1740697733,0,0,0,6102,0,0,0,0,0,0,0,0,{}
1724592097662,1724592097661,1737734989502,0,1740697733,0,0,0,6103,0,0,0,0,0,0,0,0,{}
1724592097665,1724592097664,1737734989502,0,1740697733,0,0,0,6104,0,0,0,0,0,0,0,0,{}
1724592097668,1724592097667,1737734989502,0,1740697733,0,0,0,6106,0,0,0,0,0,0,0,0,{}
1724592097671,1724592097670,1737734989502,0,1740697733,0,0,0,6107,0,0,0,0,0,0,0,0,{}
1724592097674,1724592097673,1737734989502,0,1740697733,0,0,0,6108,0,0,0,0,0,0,0,0,{}
1724592097677,1724592097676,1745851225585,0,1752937657,2122,2,2,1062,122,1310,8,0,0,0,0,4,{}
1724592097680,1724592097679,1737734989502,0,1740697733,0,0,0,6110,0,0,0,0,0,0,0,0,{}
1724592097683,1724592097682,1737734989502,0,1740697733,0,0,0,6111,0,0,0,0,0,0,0,0,{}
1724592097686,1724592097685,1745851225585,0,1749729115,2009,2,2,972,69,1310,7,0,0,0,0,4,{}
1724592097689,1724592097688,1737734989502,0,1740697733,0,0,0,6113,0,0,0,0,0,0,0,0,{}
1724592097692,1724592097691,1737734989502,0,1740697733,0,0,0,6114,0,0,0,0,0,0,0,0,{}
1724592097695,1724592097694,1737734989502,0,1740697733,0,0,0,6115,0,0,0,0,0,0,0,0,{}
1724592097698,1724592097697,1737734989502,0,1740697733,0,0,0,6116,0,0,0,0,0,0,0,0,{}
1724592097701,1724592097700,1737734989502,0,1740697733,0,0,0,6117,0,0,0,0,0,0,0,0,{}
1724592097704,1724592097703,1737734989502,0,1740697733,0,0,0,6118,0,0,0,0,0,0,0,0,{}
1724592097707,1724592097706,1737734989502,0,1740697733,0,0,0,6119,0,0,0,0,0,0,0,0,{}
1724592097710,1724592097709,1737734989502,0,1740697733,0,0,0,6122,0,0,0,0,0,0,0,0,{}
1724592097713,1724592097712,1737734989502,0,1740697733,0,0,0,6123,0,0,0,0,0,0,0,0,{}
1724592097716,1724592097715,1737734989502,0,1740697733,0,0,0,6124,0,0,0,0,0,0,0,0,{}
1724592097719,1724592097718,1737734989502,0,1740697733,0,0,0,6125,0,0,0,0,0,0,0,0,{}
1724592097722,1724592097721,1737734989502,0,1740697733,0,0,0,6126,0,0,0,0,0,0,0,0,{}
1724592097725,1724592097724,1737734989502,0,1745065733,1694,0,0,6127,0,0,0,0,0,0,0,0,{}
1724592097728,1724592097727,1737734989502,0,1740697733,0,0,0,6128,0,0,0,0,0,0,0,0,{}
1724592097731,1724592097730,1737734989502,0,1740697733,0,0,0,6130,0,0,0,0,0,0,0,0,{}
1724592097734,1724592097733,1745851225585,0,1750025764,2019,2,2,985,79,1310,7,0,0,0,0,4,{}
1724592097737,1724592097736,1737734989502,0,1740697733,0,0,0,6132,0,0,0,0,0,0,0,0,{}
1724592097740,1724592097739,1737734989502,0,1740697733,0,0,0,6133,0,0,0,0,0,0,0,0,{}
1724592097743,1724592097742,1737734989502,0,1740697733,0,0,0,6134,0,0,0,0,0,0,0,0,{}
1724592097746,1724592097745,1737734989502,0,1740697733,0,0,0,6135,0,0,0,0,0,0,0,0,{}
1724592097749,1724592097748,1737734989502,0,1740697733,0,0,0,6136,0,0,0,0,0,0,0,0,{}
1724592097752,1724592097751,1737734989502,0,1740697733,0,0,0,6137,0,0,0,0,0,0,0,0,{}
1724592097755,1724592097754,1737734989502,0,1740697733,0,0,0,6138,0,0,0,0,0,0,0,0,{}
1724592097758,1724592097757,1737734989502,0,1740697733,0,0,0,6139,0,0,0,0,0,0,0,0,{}
1724592097761,1724592097760,1745851225585,0,1748964512,1984,2,2,955,61,1310,7,0,0,0,0,4,{}
1724592097764,1724592097763,1737734989502,0,1740697733,0,0,0,6141,0,0,0,0,0,0,0,0,{}
1724592097767,1724592097766,1737734989502,0,1740697733,0,0,0,6142,0,0,0,0,0,0,0,0,{}
1724592097770,1724592097769,1745851225585,0,1749468323,2003,2,2,964,64,1310,7,0,0,0,0,4,{}
1724592097773,1724592097772,1737734989502,0,1740697733,0,0,0,6144,0,0,0,0,0,0,0,0,{}
1724592097776,1724592097775,1737734989502,0,1740697733,0,0,0,6145,0,0,0,0,0,0,0,0,{}
1724592097779,1724592097778,1737734989502,0,1740697733,0,0,0,6146,0,0,0,0,0,0,0,0,{}
1724592097782,1724592097781,1737734989502,0,1740697733,0,0,0,6147,0,0,0,0,0,0,0,0,{}
1724592097785,1724592097784,1745851225585,0,1749123226,1993,2,2,960,64,1310,7,0,0,0,0,4,{}
1724592097788,1724592097787,1737734989502,0,1740697733,0,0,0,6149,0,0,0,0,0,0,0,0,{}
1724592097791,1724592097790,1737734989502,0,1740697733,0,0,0,6150,0,0,0,0,0,0,0,0,{}
