id,cid,usn,ease,ivl,lastIvl,factor,time,type
1737747496478,1724592148120,1170,3,-600,-60,0,2411,0
1737747498344,1724592148123,1170,3,-600,-60,0,1857,0
1737747500561,1724592148126,1170,3,-600,-60,0,2209,0
1737747501803,1724592148129,1170,3,-600,-60,0,1236,0
1737747541077,1724592148132,1170,3,-600,-60,0,39271,0
1737747652668,1724592148135,1170,3,-600,-60,0,16395,0
1737747667005,1724592148138,1170,3,-600,-60,0,14325,0
1737747681732,1724592148141,1170,3,-600,-60,0,14725,0
1737747708282,1724592148144,1170,3,-600,-60,0,26547,0
1737747744515,1724592148147,1170,3,-600,-60,0,36226,0
1737747747724,1724592148120,1170,3,1,-600,1310,3198,0
1737747749087,1724592148132,1170,3,1,-600,1310,1360,0
1737747750238,1724592148126,1170,3,1,-600,1310,1147,0
1737747751473,1724592148129,1170,3,1,-600,1310,1230,0
1737747752628,1724592148123,1170,3,1,-600,1310,1152,0
1737747755490,1724592148135,1170,3,1,-600,1310,2858,0
1737747756667,1724592148138,1170,3,1,-600,1310,1175,0
1737747757856,1724592148141,1170,3,1,-600,1310,1180,0
1737747759047,1724592148144,1170,3,1,-600,1310,1186,0
1737747760303,1724592148147,1170,3,1,-600,1310,1251,0
1737747868019,1724592148150,1171,3,-600,-60,0,22035,0
1737747883426,1724592148153,1171,3,-600,-60,0,15399,0
1737747900244,1724592148156,1171,3,-600,-60,0,16814,0
1737747909885,1724592148159,1171,3,-600,-60,0,9638,0
1737747922101,1724592148162,1171,3,-600,-60,0,12211,0
1737747936074,1724592148165,1171,3,-600,-60,0,13970,0
1737747952579,1724592148168,1171,3,-600,-60,0,16493,0
1737747969962,1724592148171,1171,3,-600,-60,0,17381,0
1737747978705,1724592148174,1171,3,-600,-60,0,8740,0
1737747997106,1724592148177,1171,3,-600,-60,0,18396,0
1737747999662,1724592148156,1171,3,1,-600,1310,2552,0
1737748000840,1724592148159,1171,3,1,-600,1310,1175,0
1737748002054,1724592148174,1171,3,1,-600,1310,1210,0
1737748003767,1724592148165,1171,3,1,-600,1310,1710,0
1737748005041,1724592148153,1171,3,1,-600,1310,1272,0
1737748006298,1724592148150,1171,3,1,-600,1310,1248,0
1737748007640,1724592148168,1171,3,1,-600,1310,1338,0
1737748009081,1724592148177,1171,3,1,-600,1310,1438,0
1737748010388,1724592148162,1171,3,1,-600,1310,1304,0
1737748011765,1724592148171,1171,3,1,-600,1310,1371,0
1737749450424,1724592148180,1172,3,-600,-60,0,20130,0
1737749465888,1724592148183,1172,3,-600,-60,0,15460,0
1737749490649,1724592148186,1172,3,-600,-60,0,24758,0
1737749508973,1724592148189,1172,3,-600,-60,0,18320,0
1737749516250,1724592148192,1172,3,-600,-60,0,7274,0
1737749531398,1724592148195,1172,3,-600,-60,0,15145,0
1737749549605,1724592148198,1172,3,-600,-60,0,18203,0
1737749596107,1724592148201,1172,3,-600,-60,0,46494,0
1737749610124,1724592148204,1172,3,-600,-60,0,14007,0
1737749641757,1724592148207,1172,3,-600,-60,0,31630,0
1737749644141,1724592148180,1172,3,1,-600,1310,2382,0
1737749645401,1724592148183,1172,3,1,-600,1310,1256,0
1737749646756,1724592148198,1172,3,1,-600,1310,1351,0
1737749648156,1724592148195,1172,3,1,-600,1310,1394,0
1737749649413,1724592148189,1172,3,1,-600,1310,1253,0
1737749650519,1724592148192,1172,3,1,-600,1310,1103,0
1737749652077,1724592148186,1172,3,1,-600,1310,1554,0
